Locus_name	Locus_TAIR_accession	InteractorLocus_name	InteractorLocus_TAIR_accession	Evidence_code	Evidence_description	TAIR_reference_id	PubMed_id	Date_updated	Annotated_by
AT1G10940	Locus:2197379	AT4G02570	Locus:2132377	IPI	fluorescence resonance energy transfer (FRET)	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT1G10940	Locus:2197379	AT5G57360	Locus:2172994	IPI	yeast two-hybrid assay	Publication:501718356	PMID:16428597	5/22/09	BIOGRID
AT1G11400	Locus:2200116	AT1G51510	Locus:2033888	IPI	fusion protein pull-down assay	Publication:501719990	PMID:16953428	3/4/08	TAIR
AT1G13600	Locus:2009932	AT3G30530	Locus:2092595	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT1G15550	Locus:2196623	AT4G35390	Locus:2122148	IPI	yeast two-hybrid assay	Publication:501721041	PMID:17277098	6/22/07	TAIR
AT1G15750	Locus:2036204	AT2G17950	Locus:2060902	IPI	yeast two-hybrid assay	Publication:501718576	PMID:16461579	4/12/06	TAIR
AT1G16890	Locus:2015581	AT1G70660	Locus:2033561	IPI	yeast two-hybrid assay	Publication:501724002	PMID:18178771	2/26/08	TAIR
AT1G16890	Locus:2015581	AT2G36060	Locus:2039245	IPI	yeast two-hybrid assay	Publication:501724002	PMID:18178771	2/26/08	TAIR
AT1G16890	Locus:2015581	AT3G52560	Locus:2079984	IPI	yeast two-hybrid assay	Publication:501724002	PMID:18178771	2/26/08	TAIR
AT1G16970	Locus:2035495	AT4G13870	Locus:2119525	IPI	Co-immunoprecipitation	Publication:501718447	PMID:16396834	5/2/06	TAIR
AT1G19050	Locus:2011286	AT3G21510	Locus:2089900	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G19180	Locus:2202180	AT2G39940	Locus:2061136	IPI	yeast two-hybrid assay	Publication:501722828	PMID:17637677	1/27/08	TAIR
AT1G19350	Locus:2016472	AT5G08130	Locus:2181549	IPI	yeast two-hybrid assay	Publication:501714486	PMID:15680330	6/9/06	TAIR
AT1G20020	Locus:2198651	AT5G66190	Locus:2156917	IDA	in vitro binding assay	Publication:501721162	PMID:17335513	4/12/07	TAIR
AT1G21410	Locus:2027082	AT5G03415	Locus:1005716177	IPI	fusion protein pull-down assay	Publication:501719703	PMID:16920782	4/23/07	TAIR
AT1G21780	Locus:2036962	AT1G69670	Locus:2205020	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/2/06	TAIR
AT1G21980	Locus:2201108	AT3G23000	Locus:2094553	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G21980	Locus:2201108	AT4G35950	Locus:2125399	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G21980	Locus:2201108	AT5G56600	Locus:2165006	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G21980	Locus:2201108	AT5G58670	Locus:2178803	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G21980	Locus:2201108	AT5G64070	Locus:2164401	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G22070	Locus:2030551	AT5G45110	Locus:2153192	IPI	yeast two-hybrid assay	Publication:501720485	PMID:17076807	3/21/07	TAIR
AT1G22770	Locus:2199685	AT3G11540	Locus:2080722	IPI	yeast two-hybrid assay	Publication:501712425	PMID:15155885	5/22/09	BIOGRID
AT1G22770	Locus:2199685	AT5G57360	Locus:2172994	IDA	affinity capture		PMID:17704763	5/22/09	BIOGRID
AT1G22770	Locus:2199685	AT5G62430	Locus:2154079	IDA	affinity capture	Publication:501723160	PMID:17872410	5/22/09	BIOGRID
AT1G23260	Locus:2028085	AT1G78870	Locus:2037553	IDA	in vitro reconstitution assay with recombinant protein	Publication:501724002	PMID:18178771	5/22/09	BIOGRID
AT1G23490	Locus:2028926	AT4G01190	Locus:2125098	IPI	fusion protein pull-down assay	Publication:501721228	PMID:17379598	5/18/07	TAIR
AT1G23860	Locus:2199837	AT3G50670	Locus:2101714	IPI	yeast two-hybrid assay	Publication:2145	PMID:9761791	5/11/06	TAIR
AT1G24260	Locus:2032372	AT2G42830	Locus:2052420	IPI	yeast two-hybrid assay	Publication:501711290	PMID:14555696	4/25/06	TAIR
AT1G24260	Locus:2032372	AT3G58780	Locus:2099029	IPI	yeast two-hybrid assay	Publication:501711290	PMID:14555696	4/25/06	TAIR
AT1G24260	Locus:2032372	AT4G09960	Locus:2140578	IPI	yeast two-hybrid assay	Publication:501711290	PMID:14555696	4/25/06	TAIR
AT1G24590	Locus:2024076	AT1G52150	Locus:2034086	IPI	Co-immunoprecipitation	Publication:501721234	PMID:17376809	6/12/07	TAIR
AT1G24590	Locus:2024076	AT2G34710	Locus:2061544	IPI	Co-immunoprecipitation	Publication:501721234	PMID:17376809	6/12/07	TAIR
AT1G24590	Locus:2024076	AT4G32880	Locus:2134088	IPI	Co-immunoprecipitation	Publication:501721234	PMID:17376809	6/12/07	TAIR
AT1G24590	Locus:2024076	AT5G60690	Locus:2175856	IPI	Co-immunoprecipitation	Publication:501721234	PMID:17376809	6/12/07	TAIR
AT1G26830	Locus:2200670	AT2G26990	Locus:2059289	IPI	yeast two-hybrid assay	Publication:501720950	PMID:17307927	4/5/07	TAIR
AT1G26830	Locus:2200670	AT2G39760	Locus:2063953	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/10/06	TAIR
AT1G26830	Locus:2200670	AT5G13060	Locus:2179842	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/10/06	TAIR
AT1G26830	Locus:2200670	AT5G19000	Locus:2179599	IPI	yeast two-hybrid assay	Publication:501715079	PMID:15749712	5/10/06	TAIR
AT1G26830	Locus:2200670	AT5G20570	Locus:2149927	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/10/06	TAIR
AT1G26830	Locus:2200670	AT5G42970	Locus:2159961	IPI	yeast two-hybrid assay	Publication:501720950	PMID:17307927	4/5/07	TAIR
AT1G28490	Locus:2032569	AT5G16830	Locus:2148960	IPI	split-reporter assay	Publication:501722659	PMID:17662028	8/9/07	TAIR
AT1G28490	Locus:2032569	AT5G26980	Locus:2148513	IPI	Co-immunoprecipitation	Publication:1546235	PMID:11739776	2/17/06	TAIR
AT1G29260	Locus:2029939	AT5G56290	Locus:2177606	IPI	Co-immunoprecipitation	Publication:501681308	PMID:11978862	5/8/06	TAIR
AT1G30460	Locus:2028175	AT5G23880	Locus:2172843	IDA	in vitro reconstitution assay with recombinant protein	Publication:501719773	PMID:16897494	5/22/09	BIOGRID
AT1G30950	Locus:2015766	AT4G14110	Locus:2129435	IDA	affinity capture	Publication:501706031	PMID:12724534	5/22/09	BIOGRID
AT1G30950	Locus:2015766	AT5G42970	Locus:2159961	IDA	affinity capture	Publication:501706031	PMID:12724534	5/22/09	BIOGRID
AT1G30970	Locus:2015776	AT4G02560	Locus:2005532	IPI	Co-immunoprecipitation	Publication:501720278	PMID:17138694	5/23/07	TAIR
AT1G30970	Locus:2015776	AT5G16320	Locus:2171327	IPI	yeast two-hybrid assay	Publication:501720278	PMID:17138694	5/23/07	TAIR
AT1G32060	Locus:2195366	AT3G62410	Locus:2096009	IPI	Co-purification	Publication:501717821	PMID:16258009	5/19/06	TAIR
AT1G32230	Locus:2031700	AT2G01980	Locus:2041100	IPI	fusion protein pull-down assay	Publication:501720182	PMID:17023541	8/22/08	TAIR
AT1G32400	Locus:2033718	AT4G21790	Locus:2119088	IPI	yeast two-hybrid assay	Publication:501683045	PMID:12514139	5/22/09	BIOGRID
AT1G35670	Locus:2014691	AT1G56280	Locus:2011856	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT1G35670	Locus:2014691	AT5G27850	Locus:2143330	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT1G43850	Locus:2029137	AT1G69120	Locus:2033273	IPI	yeast two-hybrid assay	Publication:501719596	PMID:16854969	8/22/08	TAIR
AT1G43850	Locus:2029137	AT4G32551	Locus:2131327	IPI	yeast two-hybrid assay	Publication:501719131	PMID:16679456	4/24/07	TAIR
AT1G47200	Locus:2036736	AT5G11390	Locus:2148057	IDA	affinity capture	Publication:501725058	PMID:18591351	5/22/09	BIOGRID
AT1G47870	Locus:2202390	AT5G03415	Locus:1005716177	IPI	Co-immunoprecipitation	Publication:501719703	PMID:16920782	4/20/07	TAIR
AT1G48050	Locus:2023757	AT4G13870	Locus:2119525	IPI	Co-immunoprecipitation	Publication:501718447	PMID:16396834	6/7/06	TAIR
AT1G48410	Locus:2007760	AT1G09700	Locus:2024407	IPI	split-reporter assay	Publication:501721376	PMID:17442570	5/22/09	BIOGRID
AT1G53090	Locus:2037005	AT2G32950	Locus:2059359	IDA	affinity capture	Publication:501728664	PMID:18812498	5/22/09	BIOGRID
AT1G53090	Locus:2037005	AT2G46340	Locus:2039139	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728664	PMID:18812498	5/22/09	BIOGRID
AT1G53090	Locus:2037005	AT3G15354	Locus:504955771	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728664	PMID:18812498	5/22/09	BIOGRID
AT1G53090	Locus:2037005	AT4G11110	Locus:2136133	IDA	affinity capture	Publication:501728664	PMID:18812498	5/22/09	BIOGRID
AT1G53650	Locus:2024842	AT4G34110	Locus:2124261	IPI	yeast two-hybrid assay	Publication:501714384	PMID:15650869	5/10/06	TAIR
AT1G53720	Locus:2024852	AT4G35800	Locus:2125319	IDA	affinity capture	Publication:501718489	PMID:16497658	5/22/09	BIOGRID
AT1G55310	Locus:2035651	AT3G13570	Locus:2086804	IDA	in vitro reconstitution assay with recombinant protein		PMID:18674533	5/22/09	BIOGRID
AT1G55310	Locus:2035651	AT3G50670	Locus:2101714	IPI	Co-immunoprecipitation	Publication:922	PMID:10593939	5/11/06	TAIR
AT1G55310	Locus:2035651	AT3G55460	Locus:2099931	IDA	in vitro reconstitution assay with recombinant protein		PMID:18674533	5/22/09	BIOGRID
AT1G55310	Locus:2035651	AT5G18810	Locus:2144945	IDA	in vitro reconstitution assay with recombinant protein		PMID:18674533	5/22/09	BIOGRID
AT1G59940	Locus:2025911	AT2G45820	Locus:2050704	IPI	yeast two-hybrid assay	Publication:2114	PMID:9771897	5/22/09	BIOGRID
AT1G59940	Locus:2025911	AT3G21510	Locus:2089900	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G59940	Locus:2025911	AT3G29350	Locus:2093817	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G59940	Locus:2025911	AT5G39340	Locus:2175643	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G62360	Locus:2027089	AT4G32980	Locus:2005494	IPI	Co-immunoprecipitation	Publication:501718794	PMID:16513846	8/22/08	TAIR
AT1G64280	Locus:2014200	AT5G06950	Locus:2169394	IPI	yeast two-hybrid assay	Publication:501682625	PMID:12383081	5/22/09	BIOGRID
AT1G64280	Locus:2014200	AT5G06960	Locus:2169409	IPI	yeast two-hybrid assay	Publication:760	PMID:10659709	5/22/09	BIOGRID
AT1G64520	Locus:2019504	AT3G52450	Locus:2079964	IDA	in vitro reconstitution assay with recombinant protein	Publication:501727236	PMID:18664614	5/22/09	BIOGRID
AT1G65030	Locus:2014988	AT4G21100	Locus:2127368	IPI	Co-immunoprecipitation	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT1G65800	Locus:2018506	AT3G46510	Locus:2075140	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT1G65800	Locus:2018506	AT3G54850	Locus:2082682	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT1G65800	Locus:2018506	AT5G65200	Locus:2171810	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT1G66340	Locus:2201552	AT3G21510	Locus:2089900	IPI	yeast two-hybrid assay	Publication:156	PMID:10930573	2/29/08	TAIR
AT1G66340	Locus:2201552	AT3G29350	Locus:2093817	IPI	yeast two-hybrid assay	Publication:156	PMID:10930573	2/29/08	TAIR
AT1G66340	Locus:2201552	AT5G03730	Locus:2144613	IPI	yeast two-hybrid assay	Publication:501707745	PMID:12837948	5/22/09	BIOGRID
AT1G66340	Locus:2201552	AT5G39340	Locus:2175643	IPI	yeast two-hybrid assay	Publication:156	PMID:10930573	2/29/08	TAIR
AT1G68050	Locus:2200176	AT1G56280	Locus:2011856	IPI	yeast two-hybrid assay	Publication:501716389	PMID:15937324	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT1G75950	Locus:2204435	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT2G25700	Locus:2050281	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT3G60010	Locus:2080532	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT4G34210	Locus:2124281	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT4G34470	Locus:2139504	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT1G68050	Locus:2200176	AT5G42190	Locus:2165825	IPI	yeast two-hybrid assay	Publication:501723160	PMID:17872410	5/22/09	BIOGRID
AT1G69120	Locus:2033273	AT2G22540	Locus:2041233	IPI	yeast two-hybrid assay	Publication:501719131	PMID:16679456	4/24/07	TAIR
AT1G69120	Locus:2033273	AT4G24540	Locus:2121924	IPI	yeast two-hybrid assay	Publication:501719131	PMID:16679456	4/24/07	TAIR
AT1G69390	Locus:2007171	AT5G24020	Locus:2178717	IPI	yeast two-hybrid assay	Publication:501717338	PMID:16014621	5/19/06	TAIR
AT1G69600	Locus:2026734	AT1G14687	Locus:505006123	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	3/27/06	TAIR
AT1G69600	Locus:2026734	AT1G75240	Locus:2025121	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	3/27/06	TAIR
AT1G69600	Locus:2026734	AT3G50890	Locus:2077957	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	3/27/06	TAIR
AT1G69670	Locus:2205020	AT2G39760	Locus:2063953	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/8/06	TAIR
AT1G69670	Locus:2205020	AT4G08455	Locus:504955382	IPI	yeast two-hybrid assay	Publication:501715079	PMID:15749712	5/8/06	TAIR
AT1G69670	Locus:2205020	AT5G13060	Locus:2179842	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/8/06	TAIR
AT1G69670	Locus:2205020	AT5G19000	Locus:2179599	IPI	yeast two-hybrid assay	Publication:501714527	PMID:15618422	5/8/06	TAIR
AT1G69670	Locus:2205020	AT5G20570	Locus:2149927	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/8/06	TAIR
AT1G70310	Locus:2016129	AT5G53120	Locus:2163771	IPI	yeast two-hybrid assay	Publication:501682680	PMID:12368503	10/4/03	TAIR
AT1G70660	Locus:2033561	AT1G78870	Locus:2037553	IPI	fusion protein pull-down assay	Publication:501724002	PMID:18178771	2/26/08	TAIR
AT1G70700	Locus:2033607	AT2G39940	Locus:2061136	IPI	yeast two-hybrid assay	Publication:501725158	PMID:18547396	5/22/09	BIOGRID
AT1G71230	Locus:2032288	AT5G14250	Locus:2145638	IDA	affinity capture	Publication:1546067	PMID:11684663	5/22/09	BIOGRID
AT1G71830	Locus:2013021	AT3G09840	Locus:2085064	IPI	yeast two-hybrid assay	Publication:501714787	PMID:15592873	3/24/06	TAIR
AT1G71830	Locus:2013021	AT4G39400	Locus:2005498	IPI	Co-immunoprecipitation	Publication:501714787	PMID:15592873	3/24/06	TAIR
AT1G71830	Locus:2013021	AT5G10450	Locus:2142489	IDA	in vitro reconstitution assay with recombinant protein	Publication:501714787	PMID:15592873	5/22/09	BIOGRID
AT1G71830	Locus:2013021	AT5G19280	Locus:2150220	IPI	Co-immunoprecipitation	Publication:501681700	PMID:12101128	3/24/06	TAIR
AT1G74890	Locus:2027237	AT5G08720	Locus:504956340	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G74890	Locus:2027237	AT5G43170	Locus:2167766	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT1G75820	Locus:2204350	AT2G27250	Locus:2005502	IDA	in vitro binding assay	Publication:501723926	PMID:18202283	2/4/08	TAIR
AT1G75820	Locus:2204350	AT5G19280	Locus:2150220	IPI	Co-crystallization	Publication:501720969	PMID:17302430	5/22/09	BIOGRID
AT1G75950	Locus:2204435	AT2G25490	Locus:2040105	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/8/06	TAIR
AT1G75950	Locus:2204435	AT2G39940	Locus:2061136	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/8/06	TAIR
AT1G75950	Locus:2204435	AT3G61590	Locus:2082797	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/8/06	TAIR
AT1G75950	Locus:2204435	AT4G02570	Locus:2132377	IPI	yeast two-hybrid assay	Publication:501714599	PMID:15659098	5/8/06	TAIR
AT1G75950	Locus:2204435	AT5G49610	Locus:2157834	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/8/06	TAIR
AT1G76030	Locus:2204430	AT3G11280	Locus:2074723	IPI	yeast two-hybrid assay	Publication:501720456	PMID:17081979	1/25/07	TAIR
AT1G76030	Locus:2204430	AT4G29130	Locus:2119931	IPI	yeast two-hybrid assay	Publication:501720456	PMID:17081979	1/25/07	TAIR
AT1G77140	Locus:2196025	AT4G02195	Locus:505006427	IPI	Co-immunoprecipitation	Publication:273	PMID:10888666	6/7/06	TAIR
AT1G77140	Locus:2196025	AT5G26980	Locus:2148513	IPI	Co-immunoprecipitation	Publication:273	PMID:10888666	6/7/06	TAIR
AT1G78870	Locus:2037553	AT2G36060	Locus:2039245	IPI	yeast two-hybrid assay	Publication:501724002	PMID:18178771	5/22/09	BIOGRID
AT1G78870	Locus:2037553	AT3G52560	Locus:2079984	IPI	yeast two-hybrid assay	Publication:501724002	PMID:18178771	5/22/09	BIOGRID
AT1G78870	Locus:2037553	AT5G14420	Locus:2145643	IPI	yeast two-hybrid assay	Publication:501722455	PMID:17586653	8/23/07	TAIR
AT1G79590	Locus:2019858	AT5G16830	Locus:2148960	IPI	Co-immunoprecipitation	Publication:1546235	PMID:11739776	2/17/06	TAIR
AT1G79590	Locus:2019858	AT5G39510	Locus:2175733	IPI	Co-immunoprecipitation	Publication:1546235	PMID:11739776	2/22/08	TAIR
AT1G79590	Locus:2019858	AT5G46860	Locus:3356150	IPI	Co-immunoprecipitation	Publication:1546235	PMID:11739776	2/17/06	TAIR
AT1G79830	Locus:2017889	AT4G39890	Locus:2140045	IPI	fusion protein pull-down assay	Publication:501723978	PMID:18182439	3/17/08	TAIR
AT2G01120	Locus:2045745	AT2G37560	Locus:2040706	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/3/06	TAIR
AT2G01120	Locus:2045745	AT4G29910	Locus:2123934	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/3/06	TAIR
AT2G01120	Locus:2045745	AT5G16690	Locus:2148995	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/3/06	TAIR
AT2G01570	Locus:2005516	AT4G24210	Locus:2135917	IPI	fusion protein pull-down assay	Publication:501712428	PMID:15155881	2/1/07	TAIR
AT2G01760	Locus:2065398	AT1G16680	Locus:2017973	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01760	Locus:2065398	AT2G31160	Locus:2055897	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01760	Locus:2065398	AT3G29350	Locus:2093817	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01760	Locus:2065398	AT3G52590	Locus:2079924	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT1G13980	Locus:2035853	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT1G25260	Locus:2032970	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT1G51650	Locus:2017657	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT2G45820	Locus:2050704	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT3G29350	Locus:2093817	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G01830	Locus:2059718	AT3G51630	Locus:2098242	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT2G02360	Locus:2056231	AT4G34470	Locus:2139504	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT2G02360	Locus:2056231	AT5G42190	Locus:2165825	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/22/09	BIOGRID
AT2G02950	Locus:2056695	AT2G18790	Locus:2005515	IPI	yeast two-hybrid assay	Publication:1476	PMID:10348744	6/9/06	TAIR
AT2G03170	Locus:2056956	AT3G61590	Locus:2082797	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/3/06	TAIR
AT2G03170	Locus:2056956	AT4G39550	Locus:2122571	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/3/06	TAIR
AT2G03170	Locus:2056956	AT5G49610	Locus:2157834	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/3/06	TAIR
AT2G05170	Locus:2051254	AT3G54860	Locus:2082692	IPI	Co-immunoprecipitation	Publication:501683327	PMID:12589039	5/4/04	TAIR
AT2G05620	Locus:2058974	AT4G11960	Locus:2118031	IPI	yeast two-hybrid assay	Publication:501724018	PMID:18243102	2/6/08	TAIR
AT2G05620	Locus:2058974	AT4G22890	Locus:2127233	IPI	yeast two-hybrid assay	Publication:501724018	PMID:18243102	2/6/08	TAIR
AT2G13540	Locus:2054137	AT5G44200	Locus:2167649	IPI	yeast two-hybrid assay	Publication:501680101	PMID:11525733	7/14/03	TAIR
AT2G17950	Locus:2060902	AT3G15880	Locus:2093222	IPI	yeast two-hybrid assay	Publication:501718576	PMID:16461579	6/7/06	TAIR
AT2G18160	Locus:2053124	AT4G02640	Locus:2132372	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
